Bit Of Aerosiderite,bit-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Boreal Wolf's Broken Fang,boreal-wolfs-broken-fang,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Cracked Tooth,boreal-wolfs-cracked-tooth,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Milk Tooth,boreal-wolfs-milk-tooth,Tuesday,Friday,Sunday,Cecilia Garden
Boreal Wolf's Nostalgia,boreal-wolfs-nostalgia,Tuesday,Friday,Sunday,Cecilia Garden
Chains of the Dandelion Gladiator,chains-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Chunk of Aerosiderite,chunk-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Debris of Decarabian's City,debris-of-decarabians-city,Monday,Thursday,Sunday,Cecilia Garden
Divine Body from Guyun,divine-body-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Dream of the Dandelion Gladiator,dream-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Fetters of the Dandelion Gladiator,fetters-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Fragment of Decarabian's Epic,fragment-of-decarabians-epic,Monday,Thursday,Sunday,Cecilia Garden
Grain of Aerosiderite,grain-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Luminous Sands from Guyun,luminous-sands-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Lustrous Stone from Guyun,lustrous-stone-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Gold Elixir,mist-veiled-gold-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Lead Elixir,mist-veiled-lead-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Mercury Elixir,mist-veiled-mercury-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Mist Veiled Primo Elixir,mist-veiled-primo-elixir,Tuesday,Friday,Sunday,Hidden Palace of Lianshan Formula
Piece of Aerosiderite,piece-of-aerosiderite,Wednesday,Saturday,Sunday,Hidden Palace of Lianshan Formula
Relic from Guyun,relic-from-guyun,Monday,Thursday,Sunday,Hidden Palace of Lianshan Formula
Scattered Piece of Decarabian's Dream,scattered-piece-of-decarabians-dream,Monday,Thursday,Sunday,Cecilia Garden
Shackles of the Dandelion Gladiator,shackles-of-the-dandelion-gladiator,Wednesday,Saturday,Sunday,Cecilia Garden
Tile of Decarabian's Tower,tile-of-decarabians-tower,Monday,Thursday,Sunday,Cecilia Garden
Agent's Sacrificial Knife,agents-sacrificial-knife,None,None,None,Teyvat
Black Bronze Horn,black-bronze-horn,None,None,None,Teyvat
Black Crystal Horn,black-crystal-horn,None,None,None,Teyvat
Chaos Circuit,chaos-circuit,None,None,None,Teyvat
Chaos Core,chaos-core,None,None,None,Teyvat
Chaos Device,chaos-device,None,None,None,Teyvat
